CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-08-0440-41,16-013,ALTA VERAPAZ,SENAHU,COPB ANEXO A EORM,CASERIO SEQUILA II,,OSCAR ANIBAL GARCIA HUMBLERS,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0441-41,,ALTA VERAPAZ,SENAHU,CPPB ANEXO A EPRM,FINCA SEPAMAC,,,,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0442-41,,ALTA VERAPAZ,SENAHU,COPB ANEXO A EORM,CASERIO CHACHILA,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0443-43,16-040,ALTA VERAPAZ,SENAHU,EORM,COOPERATIVA SANTO DOMINGO,,DULLIER CLEMENTE BOL BAC,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0444-43,16-040,ALTA VERAPAZ,SENAHU,EORM,COOPERATIVA ACTELA,45953375,DULLIER CLEMENTE BOL BAC,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0445-43,,ALTA VERAPAZ,SENAHU,EORM,ALDEA TZALAMILHA,,,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0446-43,16-040,ALTA VERAPAZ,SENAHU,EORM,COOPERATIVA LAS CAMELIAS,33332688,DULLIER CLEMENTE BOL BAC,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0447-43,16-040,ALTA VERAPAZ,SENAHU,EORM,CASERIO CONCEPCION ACTELA,,DULLIER CLEMENTE BOL BAC,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0448-41,,ALTA VERAPAZ,SENAHU,CPPB ANEXO A EPRM,FINCA CABAÑAS,,,,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0449-43,,ALTA VERAPAZ,SENAHU,EORM,COMUNIDAD YALIJUX,,,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
