CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-10-8512-41,01-611,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM,CASERIO PASAJOC ALDEA CERRO ALTO,,CESAR AUGUSTO LUNA ORTIZ,ANA VERONICA PIRIR AJVIX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-9558-41,01-622,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM,CASERIO ESTANCIA EL ROSARIO ALDEA MONTUFAR,,CRISTOBAL DE JESUS SANTIZO ROSALES,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-9676-41,01-622,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM,COLONIA SAN JORGE ALDEA SUACITE,49503990,CRISTOBAL DE JESUS SANTIZO ROSALES,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-11-0024-41,01-613,GUATEMALA,SAN RAYMUNDO,COPB ANEXO A EORM,ALDEA VUELTA GRANDE,49825478,RONY ESTUARDO AREVALO CASTILLO,HEYSON EDMUNDO MANZO BHOR,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-11-0026-41,01-613,GUATEMALA,SAN RAYMUNDO,COPB ANEXA A EORM,"CASERIO LOS AYAPANES, ALDEA VUELTA GRANDE",,RONY ESTUARDO AREVALO CASTILLO,---,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-11-2675-41,01-613,GUATEMALA,SAN RAYMUNDO,COPB ANEXO A ESCUELA OFICIAL RURAL MIXTA,ALDEA EL CARRIZAL,45007268,RONY ESTUARDO AREVALO CASTILLO,ILSA LUISIANA ROJAS MOSCOZO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-11-6627-41,01-613,GUATEMALA,SAN RAYMUNDO,COPB ANEXO EORM,CASERIO LO DE GUERRERO ALDEA LA CIENAGA,46560223,RONY ESTUARDO AREVALO CASTILLO,AURELINA CUTZAL GARCIA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-11-8207-41,01-613,GUATEMALA,SAN RAYMUNDO,COPB ANEXO A EORM,ALDEA VUELTA GRANDE,59947474,RONY ESTUARDO AREVALO CASTILLO,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-11-8826-41,01-613,GUATEMALA,SAN RAYMUNDO,COPB ANEXO A EORM,ALDEA ESTANCIA VIEJA,55520571,RONY ESTUARDO AREVALO CASTILLO,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-11-8845-41,01-613,GUATEMALA,SAN RAYMUNDO,COPB ANEXO A EORM,CASERIO LAS JOYAS ALDEA EL CARRIZAL,,RONY ESTUARDO AREVALO CASTILLO,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-11-9507-41,01-613,GUATEMALA,SAN RAYMUNDO,COPB ANEXO A EORM ABUELITA AMELIA PAVONI,CASERIO CERRO LA GRANADILLA ALDEA EL CIPRES,53201316,RONY ESTUARDO AREVALO CASTILLO,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-12-0002-41,01-614,GUATEMALA,CHUARRANCHO,ANEXA A EORM,CANTON LOS AJCUC,45756642,JERVIN ARSENIO FIGUEROA DUBON,---,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-12-0010-41,01-614,GUATEMALA,CHUARRANCHO,COPB ANEXA A EORM,CANTON MALALEON,,JERVIN ARSENIO FIGUEROA DUBON,---,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-12-0015-41,01-614,GUATEMALA,CHUARRANCHO,COPB ANEXA EORM,CANTON PONIENTE,,JERVIN ARSENIO FIGUEROA DUBON,---,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-12-2680-41,01-614,GUATEMALA,CHUARRANCHO,COPB ANEXO A ESCUELA URBANA MIXTA CARLOS AUGUSTO TRUJILLO ALVAREZ,CANTON CENTRAL,53778395,JERVIN ARSENIO FIGUEROA DUBON,,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-12-2681-41,01-614,GUATEMALA,CHUARRANCHO,COPB ANEXO A EORM,CANTON LA CUMBRE,,JERVIN ARSENIO FIGUEROA DUBON,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-15-6591-41,,GUATEMALA,VILLA NUEVA,CPPB COLEGIO MIXTO 'VILLA BONITA',5A. AVENIDA 1-31 ZONA 5,66314925,,,PREPRIMARIA BILINGUE,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
