CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
20-01-0069-43,20-020,CHIQUIMULA,CHIQUIMULA,EORM 'MANUEL VICENTE CASTANEDA',ALDEA EL PINALITO,50661144,JORGE ALBERTO SAAVEDRA LOPEZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0070-43,20-010,CHIQUIMULA,CHIQUIMULA,EORM,ALDEA EL BARREAL,48532002,MERY ELISABET CALDERON CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0071-43,20-020,CHIQUIMULA,CHIQUIMULA,EORM 'GILBERTO ZEA AVELAR',ALDEA SILLON ABAJO,41826181,JORGE ALBERTO SAAVEDRA LOPEZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0072-43,20-010,CHIQUIMULA,CHIQUIMULA,EORM RAUL MEJIA GONZALEZ,ALDEA SABANA GRANDE,47707120,MERY ELISABET CALDERON CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0073-43,20-010,CHIQUIMULA,CHIQUIMULA,EORM,ALDEA EL PALMAR,56990421,MERY ELISABET CALDERON CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0074-43,20-028,CHIQUIMULA,CHIQUIMULA,EORM ALICIA RAQUEL TOLEDO,ALDEA SAN ANTONIO,50859980,JUAN ABEL MORAN SOSA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0075-43,20-023,CHIQUIMULA,CHIQUIMULA,EORM PEDRO MOLINA,ALDEA VEGA ARRIBA,,MANFREDO RIVERA CHACON,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0076-43,20-010,CHIQUIMULA,CHIQUIMULA,EORM,ALDEA EL CONACASTE,40035362,MERY ELISABET CALDERON CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0077-43,20-023,CHIQUIMULA,CHIQUIMULA,EORM,CASERIO EL MAGUEYAL ALDEA SHORORAGUA,58199158,MANFREDO RIVERA CHACON,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0078-43,20-023,CHIQUIMULA,CHIQUIMULA,EORM,ALDEA EL MATAZANO,,MANFREDO RIVERA CHACON,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0079-43,20-010,CHIQUIMULA,CHIQUIMULA,EORM,ALDEA LAS TABLAS,41516090,MERY ELISABET CALDERON CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0080-43,20-010,CHIQUIMULA,CHIQUIMULA,EORM,ALDEA EL DURAZNO,32266966,MERY ELISABET CALDERON CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0081-43,20-028,CHIQUIMULA,CHIQUIMULA,EORM,ALDEA LA PUERTA,58438445,JUAN ABEL MORAN SOSA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
