CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-02-0014-42,01-644,GUATEMALA,SANTA CATARINA PINULA,"COLEGIO MANO AMIGA ""HERMANO PEDRO""","COLONIA SANTO DOMINGO, ALDEA PIEDRA PARADA LOTE 73 Y 69, MANZANA C, SECTOR 2, ZONA 6",66327068,LIGIA DEL ROSARIO RICCI VELASQUEZ,MARIA JULIA GONZALEZ HERNANDEZ DE ACAJABON,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0016-42,01-510,GUATEMALA,SANTA CATARINA PINULA,COLEGIO MIXTO LAS MARGARITAS,6A. AVENIDA 2-10 ZONA 1,23630745,ZOILA ESPERANZA CAMEY ATZ,LILIA AMERICA TAHUITE GUDIEL,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0023-42,01-644,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EOUM NO. 810,4A.. AVENIDA . 0-02 ZONA 1 GUATEMALA,41850767,LIGIA DEL ROSARIO RICCI VELASQUEZ,ASTRID MARÍA DE LEÓN FRANCO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0025-42,01-510,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EORM,CUCHILLA DEL CARMEN,30139032,ZOILA ESPERANZA CAMEY ATZ,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0026-42,01-510,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EORM,SECTOR I,56331377,ZOILA ESPERANZA CAMEY ATZ,LEONEL AMADO LEMUS ALARCÓN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0027-42,01-510,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EORM NO. 816 SECTOR II. ALDEA EL CARMEN JV,"LOTE 57 SECTOR CENTRAL 4, ALDEA EL CARMEN, ZONA 10",66295812,ZOILA ESPERANZA CAMEY ATZ,VEILMAN IDÁN PÉREZ LÓPEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0029-42,01-510,GUATEMALA,SANTA CATARINA PINULA,"LICEO PRIVADO ""EL GALARDON""","COLONIA LOS OLIVOS, LOTE 11, EL CARMEN",24426419,ZOILA ESPERANZA CAMEY ATZ,GILDA MAGALY RODRIGUEZ RODRIGUEZ,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0031-42,01-502,GUATEMALA,SANTA CATARINA PINULA,COLEGIO BILINGUE INTEGRIDAD (INTEGRITY),"ALDEA DON JUSTO KILOMETRO 16.5 CARRETERA A SAN JOSE PINULA, CASERIO LA LAGUNETA,",66371400,JULIA ENECON ROCA MORAN,CAROLINA DEL ROSARIO VALENZUELA PEREZ DE BARRERA,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0040-42,01-502,GUATEMALA,SANTA CATARINA PINULA,COLEGIO VALLE VERDE CES,"KILOMETRO 17.5 CARRETERAA EL SALVADOR, FINCA LA ESPERANZA, LOTE 1 ZONA 8",66242280,JULIA ENECON ROCA MORAN,ANA LUCÍA MARTÍNEZ GARCÍA,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0044-42,01-502,GUATEMALA,SANTA CATARINA PINULA,COLEGIO EL MUNDO DEL APRENDIZAJE,"KILOMETRO 14 ANTIGUA A EL SALVADOR, ALDEA PUERTA PARADA",42173967,JULIA ENECON ROCA MORAN,EDNA CAROLINA BARRIOS FUENTES,PARVULOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0045-42,01-644,GUATEMALA,SANTA CATARINA PINULA,COLEGIO TECNOLOGICO SINAI,"LOTE 88 ""A"" ZONA 6 ALDEA PIEDRA PARADA CRISTO REY",66455922,LIGIA DEL ROSARIO RICCI VELASQUEZ,KARLITA YESSENIA ALVARADO CHAJÓN DE HERDOCIA,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0050-42,01-502,GUATEMALA,SANTA CATARINA PINULA,CENTRO EDUCATIVO KINDERGARTEN GENESIS CENTRO EDUCATIVO LA FAMILIA,KM 16 CARRETERA A EL SALVADOR LOTIFICACION JARACAYA 3 ALDEA DON JUSTO,66372070,JULIA ENECON ROCA MORAN,--,PARVULOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0053-42,01-510,GUATEMALA,SANTA CATARINA PINULA,COLEGIO INICIACION ESCOLAR,6A. AVENIDA 2-34 ZONA 1,58786978,ZOILA ESPERANZA CAMEY ATZ,ELIDA TRINIDAD RAMIREZ SOTO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0055-42,01-502,GUATEMALA,SANTA CATARINA PINULA,CENTRO DE EDUCACION INTEGRAL VIDA DE NIÑOS (KIDSLIFE),"KILOMETRO 18 CA-1, FINCA SANTA RITA, LOTE 3, ZONA 8",66341666,JULIA ENECON ROCA MORAN,SILVIA ELEONORA BARRIENTOS TOBAR,PARVULOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0061-42,01-502,GUATEMALA,SANTA CATARINA PINULA,CENTRO EDUCATIVO PLAYHOUSE,"KM. 14.5 CARRETERA A EL SALVADOR, LOTE 6. SECTOR 3, SECCIÓN A VALLES DEL ENSUEÑO, ZONA 8",66370464,JULIA ENECON ROCA MORAN,MÓNICA JOSÉ CORZO CHINCHILLA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0064-42,01-502,GUATEMALA,SANTA CATARINA PINULA,"PREESCOLAR ""LA CASONA DE MAMÁ VILLA REAL""","KM. 18.5 CARRETERA A SAN JOSÉ PINULA, DESVIO AL PAJÓN CASAS 30 Y 31 CONDOMINIO VILLA REAL",66378288,JULIA ENECON ROCA MORAN,JESSICCA PAOLA GODÍNEZ ESPINOZA DE URBINA,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0070-42,01-510,GUATEMALA,SANTA CATARINA PINULA,EODP SANTA ANITA,"COLONIA SANTA ANITA, LOTE 700 ALDEA CUCHILLA DEL CARMEN",59304825,ZOILA ESPERANZA CAMEY ATZ,MARÍA DEL CARMEN MUÑOZ MÉNDEZ DE BARAHONA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0071-42,01-510,GUATEMALA,SANTA CATARINA PINULA,EODP,"SECTOR SUR 5, LOTE 5 ALDEA EL CARMEN",41640351,ZOILA ESPERANZA CAMEY ATZ,SHUMEI MAHANI TSUI TAI REYES MACARIO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0072-42,01-510,GUATEMALA,SANTA CATARINA PINULA,LICEO SANTA MARÍA VISTALAGO,"LOMAS DE SAN ANGEL, CUCHILLA DEL CARMEN, LOTE 30 ""A"" ZONA 10",24427650,ZOILA ESPERANZA CAMEY ATZ,DIANA ESTELA LEMUS CARCUZ,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0724-42,01-644,GUATEMALA,SANTA CATARINA PINULA,COLEGIO INTERNACIONAL MONTESSORI,"KM. 13.5 CARRETERA A EL SALVADOR, FINCA LA LUZ. ALDEA PUERTA PARADA",66281200,LIGIA DEL ROSARIO RICCI VELASQUEZ,,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-1251-42,01-644,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EOUM NO.810,4A. AVENIDA 0-02 ZONA 1,42527487,LIGIA DEL ROSARIO RICCI VELASQUEZ,CARLOS HUMBERTO CAMAS CONTRERAS,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-1253-42,01-510,GUATEMALA,SANTA CATARINA PINULA,EPDP ANEXA A COLEGIO 'FEDERICO ECHEVERRIA',2A AVE. 4-124 ZONA 1,23630843,ZOILA ESPERANZA CAMEY ATZ,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-1254-42,01-510,GUATEMALA,SANTA CATARINA PINULA,EPDP ANEXA A ESCUELA 'LA INMACULADA',1A CALLE 4-61 ZONA 1,23632386,ZOILA ESPERANZA CAMEY ATZ,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-1268-42,01-644,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EORM NO.811,ALDEA PIEDRA PARADA CRISTO REY,59380684,LIGIA DEL ROSARIO RICCI VELASQUEZ,CLAUDIA LIZBETH RIVERA GARCIA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-1269-42,01-502,GUATEMALA,SANTA CATARINA PINULA,EODP NO.814,KM. 14.5 CARRETERA A EL SALVADOR ALDEA PIEDRA SANTA,,JULIA ENECON ROCA MORAN,,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-2606-42,01-644,GUATEMALA,SANTA CATARINA PINULA,COLEGIO SAN ANTONIO DE PADUA,3A. AVENIDA 1-61 ALDEA PIEDRA PARADA CRISTO REY,66327247,LIGIA DEL ROSARIO RICCI VELASQUEZ,,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-2608-42,01-510,GUATEMALA,SANTA CATARINA PINULA,EPDP ANEXA A COLEGIO 'JUGANDO APRENDO',3A AV 4-47 ZONA 2,41440602,ZOILA ESPERANZA CAMEY ATZ,,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-2767-42,01-644,GUATEMALA,SANTA CATARINA PINULA,COLEGIO MIXTO CONCEPCION,EL PAJON,66374795,LIGIA DEL ROSARIO RICCI VELASQUEZ,,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-2793-42,01-510,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EORM NO.823,ALDEA CUCHILLA DEL CARMEN,32723687,ZOILA ESPERANZA CAMEY ATZ,SHAROL IVONNE RAMÍREZ CHACÓN DE GRANADOS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-2811-42,,GUATEMALA,SANTA CATARINA PINULA,LICEO MIXTO CENTROAMERICANO BILINGUE,4ta. CALLE 1-35 COLONIA LOMAS DE SANTA CATARINA,,,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-2994-42,01-502,GUATEMALA,SANTA CATARINA PINULA,COLEGIO BILINGUE 'VALLES DE VISTA HERMOSA',KM 18.5 CARRETERA A EL SALVADOR LOTIFICACION LAS MARGARITAS LOTE 26,66342012,JULIA ENECON ROCA MORAN,MARIA EUGENIA ALDANA ARAGÓN DE DURAN,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-4187-42,01-510,GUATEMALA,SANTA CATARINA PINULA,COLEGIO PARROQUIAL FRANCISCO GARCIA PELAEZ,1A. CALLE Y 1A. AVENIDA ZONA 1,23686053,ZOILA ESPERANZA CAMEY ATZ,LETICIA LILY PACAY GARCÍA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-6023-42,01-644,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EORM NO. 814,KM 14.5 A EL SALVADOR ALDEA PUERTA PARADA,66341620,LIGIA DEL ROSARIO RICCI VELASQUEZ,LISBETH EUGENIA ZELADA SAGASTUME DE OLIVA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-6024-42,01-502,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EORM DON JUSTO ARRAZOLA,DON JUSTO,66346065,JULIA ENECON ROCA MORAN,ALMA LETICIA ROMERO LÓPEZ DE ALVAREZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
